100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.00273728, 0.0142748, 0.0635362, 0.328348, 39.973, 
0.00275575, 0.0141959, 0.0758695, 0.337114, 40.7563, 
0.00268223, 0.0183168, 0.0646498, 0.350965, 40.204, 
0.00257851, 0.0143787, 0.0731663, 0.325709, 40.7496, 
0.00263561, 0.017451, 0.0661799, 0.31959, 40.6504, 
0.0028956, 0.0145165, 0.0764076, 0.318872, 40.2342, 
0.00266631, 0.0142822, 0.0854594, 0.335944, 41.0162, 
0.00262648, 0.0142951, 0.0631105, 0.320198, 40.6741, 
0.00287527, 0.0165678, 0.0711773, 0.332879, 41.8832, 
0.00259477, 0.0185485, 0.0644332, 0.31906, 40.7031, 
