10x10, 20x20, 30x30, 40x40, 50x50, 60x60, 70x70, 
0.000007, 0.000048, 0.000161, 0.000369, 0.000776, 0.001284, 0.002013, 
0.000008, 0.000050, 0.000158, 0.000369, 0.000746, 0.001243, 0.002196, 
0.000007, 0.000048, 0.000157, 0.000369, 0.000753, 0.001274, 0.002387, 
0.000007, 0.000059, 0.000166, 0.000369, 0.000748, 0.001321, 0.002023, 
0.000008, 0.000056, 0.000157, 0.000370, 0.000751, 0.001279, 0.002013, 
0.000007, 0.000053, 0.000157, 0.000453, 0.000751, 0.001344, 0.002010, 
0.000010, 0.000048, 0.000158, 0.000370, 0.000749, 0.001489, 0.002193, 
0.000008, 0.000049, 0.000192, 0.000456, 0.000834, 0.001279, 0.002018, 
0.000010, 0.000048, 0.000393, 0.000397, 0.000721, 0.001358, 0.002132, 
0.000008, 0.000048, 0.000159, 0.000483, 0.001185, 0.001242, 0.002029, 
0.000007, 0.000048, 0.000159, 0.000369, 0.000750, 0.001383, 0.002014, 
0.000008, 0.000048, 0.000217, 0.000369, 0.000747, 0.001290, 0.002033, 
0.000010, 0.000052, 0.000157, 0.000410, 0.000997, 0.001278, 0.002193, 
0.000007, 0.000048, 0.000157, 0.000370, 0.000748, 0.001283, 0.002074, 
0.000008, 0.000050, 0.000157, 0.000499, 0.001078, 0.001246, 0.002095, 
0.000007, 0.000048, 0.000157, 0.000493, 0.000754, 0.001268, 0.002017, 
0.000007, 0.000048, 0.000156, 0.000646, 0.000750, 0.001616, 0.002012, 
0.000013, 0.000047, 0.000157, 0.000370, 0.000720, 0.001270, 0.002010, 
0.000007, 0.000052, 0.000180, 0.000375, 0.000897, 0.001367, 0.002141, 
0.000007, 0.000048, 0.000158, 0.000376, 0.000820, 0.001405, 0.002130, 
0.000007, 0.000051, 0.000157, 0.000369, 0.000751, 0.001275, 0.001986, 
0.000007, 0.000050, 0.000157, 0.000376, 0.000754, 0.001280, 0.002021, 
0.000007, 0.000048, 0.000158, 0.000375, 0.000752, 0.001259, 0.002007, 
0.000007, 0.000048, 0.000158, 0.000370, 0.000723, 0.001348, 0.002009, 
0.000007, 0.000048, 0.000157, 0.000588, 0.000748, 0.001382, 0.002018, 
