100x100, 250x250, 500x500, 1000x1000, 5000x5000, 15000x15000, 30000x30000, 
2.021e-05, 0.000128563, 0.000529322, 0.00184298, 0.0110698, 0.0926331, 0.358965, 
1.841e-05, 0.000119393, 0.000483521, 0.00183685, 0.0108581, 0.0922255, 0.358665, 
1.861e-05, 0.000125563, 0.000509271, 0.00183282, 0.0106449, 0.0957924, 0.359759, 
2.214e-05, 0.000120903, 0.000486331, 0.00170436, 0.0102411, 0.0890882, 0.355811, 
2.357e-05, 0.000123333, 0.000499351, 0.0018147, 0.01573, 0.0981623, 0.353306, 
1.915e-05, 0.000149773, 0.000477431, 0.00161988, 0.0111562, 0.0883555, 0.370208, 
2.0911e-05, 0.000118532, 0.000475551, 0.00177974, 0.0107212, 0.0913646, 0.360118, 
1.8471e-05, 0.000123973, 0.000494271, 0.00172071, 0.0111689, 0.0903351, 0.359668, 
2.304e-05, 0.000120443, 0.000491221, 0.00159578, 0.0102815, 0.091183, 0.358913, 
1.8281e-05, 0.000121073, 0.000481532, 0.00191703, 0.0106007, 0.0893969, 0.36353, 
2.487e-05, 0.000121043, 0.000745497, 0.00214335, 0.0112889, 0.0906883, 0.387993, 
1.953e-05, 0.000118703, 0.000639704, 0.00184679, 0.0109859, 0.0881913, 0.353373, 
2.026e-05, 0.000120693, 0.000483861, 0.00187517, 0.0110659, 0.0895098, 0.349469, 
1.9431e-05, 0.000118303, 0.000468601, 0.00175766, 0.0135484, 0.0954023, 0.352853, 
2.2201e-05, 0.000121063, 0.000481241, 0.00163708, 0.0102573, 0.0884249, 0.351942, 
1.817e-05, 0.000133372, 0.000573862, 0.00170922, 0.0108141, 0.0897521, 0.353209, 
2.229e-05, 0.000115572, 0.000482171, 0.00164735, 0.0105767, 0.0910931, 0.358796, 
1.838e-05, 0.000122333, 0.000511483, 0.00199451, 0.01058, 0.0897258, 0.399805, 
4.128e-05, 0.000134773, 0.000559357, 0.00173748, 0.0101718, 0.0991536, 0.365593, 
1.8681e-05, 0.000127623, 0.000492631, 0.00174001, 0.0106381, 0.08861, 0.360649, 
1.7541e-05, 0.000110622, 0.000461539, 0.00179767, 0.0106081, 0.0877581, 0.347437, 
2.4571e-05, 0.000123713, 0.000549741, 0.00172256, 0.0107035, 0.0884901, 0.351321, 
2.0211e-05, 0.000118212, 0.00047877, 0.00194174, 0.0103942, 0.0951868, 0.369802, 
1.8461e-05, 0.000118053, 0.000508341, 0.00181373, 0.0108362, 0.08732, 0.349703, 
1.926e-05, 0.000122932, 0.00048337, 0.00167557, 0.0101086, 0.090776, 0.372282, 
