100x100, 200x200, 400x400, 800x800, 1000x1000, 2000x2000, 5000x5000, 10000x10000, 
0.000072, 0.000194, 0.000783, 0.012503, 0.089430, 0.155367, 0.254412, 0.799990, 
0.000052, 0.000334, 0.000984, 0.080004, 0.161611, 0.173215, 0.260041, 0.582243, 
0.000060, 0.000195, 0.000753, 0.003545, 0.070402, 0.160367, 0.295928, 0.773935, 
0.009213, 0.000220, 0.000797, 0.002749, 0.004913, 0.196356, 0.356416, 0.734628, 
0.008505, 0.000269, 0.000747, 0.003035, 0.017761, 0.166372, 0.339276, 1.271250, 
0.000048, 0.000560, 0.013165, 0.071306, 0.056156, 0.181604, 0.307117, 0.651354, 
0.000089, 0.000231, 0.001048, 0.058155, 0.088583, 0.197206, 0.505071, 1.137669, 
0.000214, 0.000199, 0.000976, 0.103507, 0.004490, 0.157840, 0.378697, 1.380849, 
0.000051, 0.000192, 0.000741, 0.073065, 0.057887, 0.247412, 0.262530, 0.842136, 
0.000092, 0.000307, 0.000872, 0.009503, 0.093497, 0.171356, 0.393717, 0.641466, 
0.000059, 0.000574, 0.000930, 0.004032, 0.007692, 0.160319, 0.352393, 1.167343, 
0.000052, 0.000188, 0.000814, 0.003277, 0.004996, 0.282229, 0.374076, 0.855819, 
0.000049, 0.000193, 0.000755, 0.014574, 0.008285, 0.168829, 0.374013, 0.784965, 
0.000249, 0.001601, 0.000866, 0.005709, 0.064307, 0.171551, 0.307844, 0.602858, 
0.000072, 0.000280, 0.057966, 0.074617, 0.063708, 0.179055, 0.266685, 1.106062, 
0.000060, 0.000251, 0.000843, 0.003103, 0.004548, 0.177275, 0.388873, 1.477626, 
0.000060, 0.000199, 0.000762, 0.003174, 0.084851, 0.189799, 0.261019, 0.991382, 
0.000092, 0.000258, 0.000842, 0.002713, 0.005081, 0.186697, 0.308384, 2.000855, 
0.000107, 0.010062, 0.003708, 0.222454, 0.092760, 0.335281, 0.560160, 2.333153, 
0.000097, 0.000417, 0.003955, 0.054606, 0.114442, 0.377559, 0.592918, 1.252431, 
0.000095, 0.000475, 0.001503, 0.084989, 0.098830, 0.343531, 0.717987, 3.242900, 
0.000096, 0.000364, 0.001554, 0.071993, 0.088545, 0.302916, 0.616386, 2.421731, 
0.000095, 0.000371, 0.001616, 0.078195, 0.094330, 0.388235, 0.430688, 1.468745, 
0.000103, 0.000380, 0.024575, 0.096650, 0.108865, 0.344131, 0.646472, 1.603158, 
0.000098, 0.000420, 0.010926, 0.005503, 0.065098, 0.574196, 0.854556, 2.202199, 
